,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
47,3,128,relu,L2,True,True,3,True,adam,16,64,sparse_categorical_crossentropy,0.7928030490875244,0.49987372756004333,0.7568181753158569,0.5990555882453918
48,3,128,tanh,,False,False,3,False,adam,13,64,categorical_crossentropy,0.7879840135574341,0.5109257698059082,0.7422558665275574,0.6149649024009705
49,3,128,tanh,,False,False,3,False,adam,17,64,sparse_categorical_crossentropy,0.7937920689582825,0.49449121952056885,0.7559764385223389,0.598408579826355
50,3,128,tanh,,False,False,3,True,adam,17,64,categorical_crossentropy,0.7932028770446777,0.49490731954574585,0.7527777552604675,0.5993049144744873
51,3,128,tanh,,False,False,3,True,adam,15,64,sparse_categorical_crossentropy,0.7912247180938721,0.5023817420005798,0.7516834735870361,0.5937302112579346
52,3,128,tanh,,False,True,3,False,adam,17,64,categorical_crossentropy,0.7958333492279053,0.4921761453151703,0.7583333253860474,0.5999610424041748
53,3,128,tanh,,False,True,3,False,adam,14,64,sparse_categorical_crossentropy,0.7889309525489807,0.5080161690711975,0.756313145160675,0.5944232940673828
54,3,128,tanh,,False,True,3,True,adam,17,64,categorical_crossentropy,0.7964435815811157,0.49164968729019165,0.7589225769042969,0.5957257151603699
55,3,128,tanh,,False,True,3,True,adam,14,64,sparse_categorical_crossentropy,0.7897937893867493,0.5050004124641418,0.7538720369338989,0.5926938056945801
56,3,128,tanh,,True,False,3,False,adam,13,64,categorical_crossentropy,0.7875841856002808,0.5111187100410461,0.7538720369338989,0.5977149605751038
57,3,128,tanh,,True,False,3,False,adam,18,64,sparse_categorical_crossentropy,0.7967382073402405,0.48966750502586365,0.7543771266937256,0.5987213850021362
58,3,128,tanh,,True,False,3,True,adam,13,64,categorical_crossentropy,0.7871001958847046,0.5100928544998169,0.7519360184669495,0.5982581973075867
59,3,128,tanh,,True,False,3,True,adam,16,64,sparse_categorical_crossentropy,0.7920033931732178,0.4964960515499115,0.7575757503509521,0.5963464975357056
60,3,128,tanh,,True,True,3,False,adam,12,64,categorical_crossentropy,0.7852693796157837,0.5145062208175659,0.7566498517990112,0.5972687602043152
61,3,128,tanh,,True,True,3,False,adam,11,64,sparse_categorical_crossentropy,0.7830387353897095,0.5203106999397278,0.7542087435722351,0.5944539904594421
62,3,128,tanh,,True,True,3,True,adam,16,64,categorical_crossentropy,0.7914141416549683,0.4994197487831116,0.7598484754562378,0.593781590461731
63,3,128,tanh,,True,True,3,True,adam,17,64,sparse_categorical_crossentropy,0.793181836605072,0.4936477541923523,0.7528619766235352,0.5965242981910706
64,3,128,tanh,L1,False,False,3,False,adam,12,64,categorical_crossentropy,0.7864057421684265,0.5130494236946106,0.7541245818138123,0.5926316976547241
65,3,128,tanh,L1,False,False,3,False,adam,15,64,sparse_categorical_crossentropy,0.7912036776542664,0.5040807127952576,0.7596801519393921,0.5883687138557434
66,3,128,tanh,L1,False,False,3,True,adam,20,64,categorical_crossentropy,0.7975799441337585,0.48378339409828186,0.7558080554008484,0.5976389646530151
67,3,128,tanh,L1,False,False,3,True,adam,16,64,sparse_categorical_crossentropy,0.7933712005615234,0.4989471435546875,0.7562289834022522,0.5947968363761902
68,3,128,tanh,L1,False,True,3,False,adam,14,64,categorical_crossentropy,0.7912036776542664,0.5043366551399231,0.7585017085075378,0.5962823033332825
69,3,128,tanh,L1,False,True,3,False,adam,16,64,sparse_categorical_crossentropy,0.7948653101921082,0.4969578981399536,0.754292905330658,0.6008493304252625
70,3,128,tanh,L1,False,True,3,True,adam,14,64,categorical_crossentropy,0.7888257503509521,0.5060898661613464,0.7547138333320618,0.6003673672676086
71,3,128,tanh,L1,False,True,3,True,adam,15,64,sparse_categorical_crossentropy,0.7908459305763245,0.5011483430862427,0.7537037134170532,0.5955923795700073
72,3,128,tanh,L1,True,False,3,False,adam,13,64,categorical_crossentropy,0.7896464467048645,0.5094683170318604,0.7547979950904846,0.6001293063163757
73,3,128,tanh,L1,True,False,3,False,adam,16,64,sparse_categorical_crossentropy,0.7926767468452454,0.49940094351768494,0.7605218887329102,0.5903400778770447
74,3,128,tanh,L1,True,False,3,True,adam,13,64,categorical_crossentropy,0.785816490650177,0.5117579102516174,0.7471380233764648,0.6027187705039978
75,3,128,tanh,L1,True,False,3,True,adam,13,64,sparse_categorical_crossentropy,0.7887415885925293,0.5093400478363037,0.7547138333320618,0.5927364230155945
76,3,128,tanh,L1,True,True,3,False,adam,18,64,categorical_crossentropy,0.7948232293128967,0.4913986027240753,0.7553871870040894,0.5998106002807617
77,3,128,tanh,L1,True,True,3,False,adam,14,64,sparse_categorical_crossentropy,0.7906986474990845,0.5049759149551392,0.7561447620391846,0.5982722640037537
78,3,128,tanh,L1,True,True,3,True,adam,21,64,categorical_crossentropy,0.8015782833099365,0.48079124093055725,0.7575757503509521,0.5978668928146362
79,3,128,tanh,L1,True,True,3,True,adam,19,64,sparse_categorical_crossentropy,0.7985059022903442,0.4855649173259735,0.7547138333320618,0.6026390790939331
80,3,128,tanh,L2,False,False,3,False,adam,11,64,categorical_crossentropy,0.7853535413742065,0.5179929733276367,0.7559764385223389,0.5896415710449219
81,3,128,tanh,L2,False,False,3,False,adam,16,64,sparse_categorical_crossentropy,0.7925925850868225,0.498609721660614,0.758080780506134,0.6013933420181274
82,3,128,tanh,L2,False,False,3,True,adam,13,64,categorical_crossentropy,0.7874789834022522,0.510449230670929,0.7585858702659607,0.5877735614776611
83,3,128,tanh,L2,False,False,3,True,adam,14,64,sparse_categorical_crossentropy,0.7908880710601807,0.5035542845726013,0.7562289834022522,0.597142219543457
84,3,128,tanh,L2,False,True,3,False,adam,20,64,categorical_crossentropy,0.7992424368858337,0.4812816083431244,0.7570707201957703,0.5991818308830261
