,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
105,3,256,relu,,True,False,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.7850589156150818,0.5240494608879089,0.7595117688179016,0.6049495935440063
106,3,256,relu,,True,False,3,True,rmsprop,9,64,categorical_crossentropy,0.7760942578315735,0.5450674295425415,0.7515151500701904,0.608177900314331
107,3,256,relu,,True,False,3,True,rmsprop,13,64,sparse_categorical_crossentropy,0.7852693796157837,0.5238836407661438,0.7565656304359436,0.6013785600662231
108,3,256,relu,,True,True,3,False,rmsprop,14,64,categorical_crossentropy,0.7865530252456665,0.5224301815032959,0.7568181753158569,0.5986223816871643
109,3,256,relu,,True,True,3,False,rmsprop,13,64,sparse_categorical_crossentropy,0.7859427332878113,0.5218150019645691,0.7556397318840027,0.6000842452049255
110,3,256,relu,,True,True,3,True,rmsprop,17,64,categorical_crossentropy,0.7905092835426331,0.5108968615531921,0.755471408367157,0.6103421449661255
111,3,256,relu,,True,True,3,True,rmsprop,10,64,sparse_categorical_crossentropy,0.7796506881713867,0.538040041923523,0.756313145160675,0.5967346429824829
112,3,256,relu,L1,False,False,3,False,rmsprop,15,64,categorical_crossentropy,0.7862794399261475,0.518970787525177,0.7531986236572266,0.6048552989959717
113,3,256,relu,L1,False,False,3,False,rmsprop,10,64,sparse_categorical_crossentropy,0.7800084352493286,0.5378583669662476,0.7509258985519409,0.6094813346862793
114,3,256,relu,L1,False,False,3,True,rmsprop,17,64,categorical_crossentropy,0.7909511923789978,0.5123974680900574,0.757659912109375,0.5988239049911499
115,3,256,relu,L1,False,False,3,True,rmsprop,10,64,sparse_categorical_crossentropy,0.7802188396453857,0.5389639139175415,0.7464646697044373,0.6083096861839294
116,3,256,relu,L1,False,True,3,False,rmsprop,15,64,categorical_crossentropy,0.7873106002807617,0.5171018242835999,0.7505050301551819,0.6073705554008484
